Ticket Number,Project,Category,Severity,Priority,combined_text,Latest Comments
T03579,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,LMS - clearance status showing pending for valid visitors User confirmed to close the ticket.,User confirmed to close the ticket.
T03042,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,LMS - 26 February-10 March Parliament Sitting Support LMS Issue support completed.,LMS Issue support completed.
T02819,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,LMS Audit Trait not showing any audit trait User Confirmed on the issue.,User Confirmed on the issue.
T02799,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,"LMS New request did not appear at Action List for security screening Analysis shared with User for clarification. on 10 Feb 2025Analyzed the  logics for Action list, Visitor List, security screening list and security  screening edit pages for the reported issue. 
Action
 List page:The Security  Screening Request for Verification count is determined based on the event
 end date being 30 days or more from the current date (05 Feb 2025 when
 checked). However, since the event end date is 07 Feb 2025, it was not
 included in the count and instead moved to the expiring status
 category.   Visitor
 List page:The applicants
 status are displayed based on the event start date condition. As a
 result, the status are correctly shown as ""Pending"" on the
 page. Security
 screening List page:The Security
 Screening List page displayed the status as ""Expiring""
 because the event end date fell within the expiring condition of 30 days
 from the current date (05 Feb 2025 when checked). Security
 screening Edit page: 
 The applicants
 status are displayed without considering the event start date condition.
 As a result, the page incorrectly showed the previously cleared valid status
 instead of the expected pending status.","Analysis shared with User for clarification. on 10 Feb 2025Analyzed the  logics for Action list, Visitor List, security screening list and security  screening edit pages for the reported issue. 
Action
 List page:The Security  Screening Request for Verification count is determined based on the event
 end date being 30 days or more from the current date (05 Feb 2025 when
 checked). However, since the event end date is 07 Feb 2025, it was not
 included in the count and instead moved to the expiring status
 category.   Visitor
 List page:The applicants
 status are displayed based on the event start date condition. As a
 result, the status are correctly shown as ""Pending"" on the
 page. Security
 screening List page:The Security
 Screening List page displayed the status as ""Expiring""
 because the event end date fell within the expiring condition of 30 days
 from the current date (05 Feb 2025 when checked). Security
 screening Edit page: 
 The applicants
 status are displayed without considering the event start date condition.
 As a result, the page incorrectly showed the previously cleared valid status
 instead of the expected pending status."
T02788,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,"LMS - Issue with Attendance Log Page Root Cause: 
 
 Some Users records in the LMS application contain invalid
 Username. The Attendance Log page uses a substring function to
 mask the Username by trimming it from the 5th character. However, certain records
 have Username values with fewer than 5 characters, causing the error during
 attendance checks. Resolution: 
 
 Update  Username
 detail with valid Username data
 to resolve the issue.","Root Cause: 
 
 Some Users records in the LMS application contain invalid
 Username. The Attendance Log page uses a substring function to
 mask the Username by trimming it from the 5th character. However, certain records
 have Username values with fewer than 5 characters, causing the error during
 attendance checks. Resolution: 
 
 Update  Username
 detail with valid Username data
 to resolve the issue."
T02780,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,User not able to upload to LMS User Confirmed to close the ticket,User Confirmed to close the ticket
T02771,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,"LMS - Source code Review Password of the attachment:
 ******@rl","Password of the attachment:
 ******@rl"
T02489,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,"LMS ALB Health check path Tebs AFM - Employee confirmed that this issue resolved.Resolution is added one more binding in the IIS for the LMS site, with port 80, ip all unassigned and without any hostname.","Tebs AFM - Employee confirmed that this issue resolved.Resolution is added one more binding in the IIS for the LMS site, with port 80, ip all unassigned and without any hostname."
T02334,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,"LMS - update email configuration recipients It is a change request, we have explained to the user and confirmed to continue as Service request, Service request no. 2024-LMS-01 and CR no. TEBS-CR so closing the ticket.","It is a change request, we have explained to the user and confirmed to continue as Service request, Service request no. 2024-LMS-01 and CR no. TEBS-CR so closing the ticket."
T02137,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 1,High,LMS application issue after ALB implemented Added an explicit same machine Key element to the application's Web.config files for both application servers.,Added an explicit same machine Key element to the application's Web.config files for both application servers.
